Date,Location,Latitude,Longitude,Operator,Route,Type,Aboard,Fatalities,Ground
09/17/1908,"Fort Myer, Virginia",38.883541,-77.0810889,Military - U.S. Army,Demonstration,Wright Flyer III,2,1,0
07-12-1912,"AtlantiCity, New Jersey",39.3642834,-74.4229266,Military - U.S. Navy,Test flight,Dirigible,5,5,0
08-06-1913,"Victoria, British Columbia, Canada",48.4284207,-123.3656444,Private,,Curtiss seaplane,1,1,0
09-09-1913,Over the North Sea,56.511018,3.515625,Military - German Navy,,Zeppelin L-1 (airship),20,14,0
10/17/1913,"Near Johannisthal, Germany",52.4367582,13.5039931,Military - German Navy,,Zeppelin L-2 (airship),30,30,0
03-05-1915,"Tienen, Belgium",50.8096628,4.9371045,Military - German Navy,,Zeppelin L-8 (airship),41,21,0
09-03-1915,"Off Cuxhaven, Germany",53.859336,8.6879057,Military - German Navy,,Zeppelin L-10 (airship),19,19,0
07/28/1916,"Near Jambol, Bulgeria",42.4841999,26.5035023,Military - German Army,,Schutte-Lanz S-L-10 (airship),20,20,0
09/24/1916,"Billericay, England",51.627903,0.418397,Military - German Navy,,Zeppelin L-32 (airship),22,22,0
10-01-1916,"Potters Bar, England",51.696636,-0.175948,Military - German Navy,,Zeppelin L-31 (airship),19,19,0
11/21/1916,"Mainz, Germany",49.9928617,8.2472526,Military - German Army,,Super Zeppelin (airship),28,27,0
11/28/1916,"Off West Hartlepool, England",54.691745,-1.212926,Military - German Navy,,Zeppelin L-34 (airship),20,20,0
03-04-1917,"Near Gent, Belgium",51.0500182,3.7303351,Military - German Army,,Airship,20,20,0
03/30/1917,Off Northern Germany,51.165691,10.451526,Military - German Navy,,Schutte-Lanz S-L-9 (airship),23,23,0
05/14/1917,"Near Texel Island, North Sea",56.511018,3.515625,Military - German Navy,,Zeppelin L-22 (airship),21,21,0
06/14/1917,"Off Vlieland Island, North Sea",53.2606424,4.9556956,Military - German Navy,,Zeppelin L-43 (airship),24,24,0
08/21/1917,Off western Denmark,43.9925706,-70.8706207,Military - German Navy,,Zeppelin L-23 (airship),18,18,0
10/20/1917,"Near Luneville, France",48.592237,6.492339,Military - German Navy,,Zeppelin L-44 (airship),18,18,0
04-07-1918,Over the Mediterranean,34.5531284,18.0480105,Military - German Navy,,Zeppelin L-59 (airship),23,23,0
05-10-1918,"Off Helgoland Island, Germany",54.1833116,7.8827444,Military - German Navy,,Zeppelin L-70 (airship),22,22,0
08-11-1918,"Ameland Island, North Sea",53.4500611,5.7906079,Military - German Navy,,Zeppelin L-53 (airship),19,19,0
12/16/1918,"Elizabeth, New Jersey",40.6639916,-74.2107006,US Aerial Mail Service,,De Havilland DH-4,1,1,0
05/25/1919,"Cleveland, Ohio",41.49932,-81.6943605,US Aerial Mail Service,,De Havilland DH-4,1,1,0
07/19/1919,"Dix Run, Pennsylvania",40.9064,-77.9395179,US Aerial Mail Service,,De Havilland DH-4,1,1,0
10-02-1919,"Newcastle, England",54.978252,-1.61778,Aircraft Transport and Travel,,De Havilland DH-4,1,1,0
10/14/1919,"Cantonsville, Maryland",39.2720509,-76.7319161,US Aerial Mail Service,,Curtiss R-4LM,1,1,0
